Date, Ticker, Quantity, Price, Action, Name, Transaction Type
02/17/2016,VIIIX,3.54,176.50381248234962,BUY,VANG INST INDEX PLUS,CONTRIBUTION
02/03/2016,VTPSX,2.08,89.88494726749761,BUY,VANG TOT INTL STK IP,CONTRIBUTION
02/03/2016,VIIIX,1.42,174.9475157452764,BUY,VANG INST INDEX PLUS,CONTRIBUTION
02/03/2016,VEMPX,1.33,140.3443113772455,BUY,VANG EXT MKT IDX ISP,CONTRIBUTION
01/21/2016,VTPSX,1.88,86.39021796916533,BUY,VANG TOT INTL STK IP,CONTRIBUTION
01/21/2016,VIIIX,1.26,170.74074074074073,BUY,VANG INST INDEX PLUS,CONTRIBUTION
01/21/2016,VEMPX,1.17,137.8286683630195,BUY,VANG EXT MKT IDX ISP,CONTRIBUTION
01/06/2016,VIIIX,0.82,181.81818181818184,BUY,VANG INST INDEX PLUS,CONTRIBUTION
01/06/2016,VEMPX,0.98,151.82186234817814,BUY,VANG EXT MKT IDX ISP,CONTRIBUTION
12/21/2015,VTPSX,0.00,50.0,BUY,VANG TOT INTL STK IP,REVENUE CREDIT
12/21/2015,VIIIX,0.00,204.99999999999997,BUY,VANG INST INDEX PLUS,REVENUE CREDIT
12/21/2015,VEMPX,0.00,135.0,BUY,VANG EXT MKT IDX ISP,REVENUE CREDIT
12/18/2015,VTPSX,0.07,94.72222222222223,BUY,VANG TOT INTL STK IP,DIVIDEND
12/18/2015,VTPSX,0.78,95.41984732824427,BUY,VANG TOT INTL STK IP,CONTRIBUTION
12/18/2015,VIIIX,0.13,183.53383458646616,BUY,VANG INST INDEX PLUS,DIVIDEND
12/18/2015,VIIIX,0.81,183.15018315018315,BUY,VANG INST INDEX PLUS,CONTRIBUTION
12/18/2015,VEMPX,0.97,154.16238437821173,BUY,VANG EXT MKT IDX ISP,CONTRIBUTION
12/16/2015,VEMPX,0.08,158.33333333333334,BUY,VANG EXT MKT IDX ISP,DIVIDEND
12/03/2015,VTPSX,0.75,99.60159362549801,BUY,VANG TOT INTL STK IP,CONTRIBUTION
12/03/2015,VIIIX,0.79,187.96992481203006,BUY,VANG INST INDEX PLUS,CONTRIBUTION
12/03/2015,VEMPX,0.93,160.7717041800643,BUY,VANG EXT MKT IDX ISP,CONTRIBUTION
11/18/2015,VTPSX,1.00,100.0,BUY,VANG TOT INTL STK IP,CONTRIBUTION
11/18/2015,VIIIX,0.91,191.04803493449782,BUY,VANG INST INDEX PLUS,CONTRIBUTION
11/18/2015,VEMPX,1.08,161.88714153561517,BUY,VANG EXT MKT IDX ISP,CONTRIBUTION
11/04/2015,VTPSX,0.98,101.7293997965412,BUY,VANG TOT INTL STK IP,CONTRIBUTION
11/04/2015,VIIIX,0.90,192.51925192519252,BUY,VANG INST INDEX PLUS,CONTRIBUTION
11/04/2015,VEMPX,1.06,164.4736842105263,BUY,VANG EXT MKT IDX ISP,CONTRIBUTION
10/21/2015,VTPSX,0.74,101.07816711590297,BUY,VANG TOT INTL STK IP,CONTRIBUTION
10/21/2015,VIIIX,0.71,184.59915611814347,BUY,VANG INST INDEX PLUS,CONTRIBUTION
10/21/2015,VEMPX,0.82,158.5144927536232,BUY,VANG EXT MKT IDX ISP,CONTRIBUTION
10/12/2015,VTSNX,-5.42,158.5144927536232,SELL,VANG TOT INTL STK IS,Exchange Out
10/12/2015,VTSNX,0.00,158.5144927536232,BUY,VANG TOT INTL STK IS,Change In Market Value
10/12/2015,VTPSX,5.41,101.40800885772283,BUY,VANG TOT INTL STK IP,Exchange In
10/05/2015,VTSNX,1.26,98.65824782951856,BUY,VANG TOT INTL STK IS,CONTRIBUTION
10/05/2015,VIIIX,1.20,181.53526970954357,BUY,VANG INST INDEX PLUS,CONTRIBUTION
10/05/2015,VEMPX,1.38,158.39971035481534,BUY,VANG EXT MKT IDX ISP,CONTRIBUTION
09/24/2015,VTSNX,0.02,92.27272727272727,BUY,VANG TOT INTL STK IS,DIVIDEND
09/22/2015,VEMPX,0.10,158.8118811881188,BUY,VANG EXT MKT IDX ISP,DIVIDEND
09/21/2015,VTSNX,1.27,98.11616954474097,BUY,VANG TOT INTL STK IS,CONTRIBUTION
09/21/2015,VIIIX,1.21,179.5977011494253,BUY,VANG INST INDEX PLUS,CONTRIBUTION
09/21/2015,VEMPX,1.34,162.15715344699777,BUY,VANG EXT MKT IDX ISP,CONTRIBUTION
09/18/2015,VIIIX,0.08,179.30232558139537,BUY,VANG INST INDEX PLUS,DIVIDEND
09/02/2015,VTSNX,1.11,97.59459459459458,BUY,VANG TOT INTL STK IS,CONTRIBUTION
09/02/2015,VIIIX,1.21,178.77062706270627,BUY,VANG INST INDEX PLUS,CONTRIBUTION
09/02/2015,VEMPX,1.35,160.14042867701403,BUY,VANG EXT MKT IDX ISP,CONTRIBUTION
08/19/2015,VTSNX,1.04,103.66507177033493,BUY,VANG TOT INTL STK IS,CONTRIBUTION
08/19/2015,VIIIX,1.13,190.56288478452066,BUY,VANG INST INDEX PLUS,CONTRIBUTION
08/19/2015,VEMPX,1.28,169.14129586260734,BUY,VANG EXT MKT IDX ISP,CONTRIBUTION
08/04/2015,VTSNX,0.70,106.83760683760684,BUY,VANG TOT INTL STK IS,CONTRIBUTION
08/04/2015,VIIIX,0.78,191.57088122605364,BUY,VANG INST INDEX PLUS,CONTRIBUTION
08/04/2015,VEMPX,0.87,171.0376282782212,BUY,VANG EXT MKT IDX ISP,CONTRIBUTION
07/20/2015,VIIIX,0.96,194.70404984423678,BUY,VANG INST INDEX PLUS,CONTRIBUTION
07/20/2015,VEMPX,1.08,173.6111111111111,BUY,VANG EXT MKT IDX ISP,CONTRIBUTION
07/06/2015,VIIIX,3.08,189.02462734931953,BUY,VANG INST INDEX PLUS,CONTRIBUTION
07/06/2015,VEMPX,3.39,171.8738951090159,BUY,VANG EXT MKT IDX ISP,CONTRIBUTION
06/17/2015,VEMPX,2.66,175.04501125281323,BUY,VANG EXT MKT IDX ISP,CONTRIBUTION

